--- Analysis Data ---
Exp.Date,2022/05/15 11:50:13
Start Time,2021/11/23 10:25:19
Finish Time,2021/11/26 10:25:18
Project Name,i7393preope_ldopa_20211123_25
Session Name,20211123-1
Analysis No,1
User Name,yoshida
Camera Object Distance (mm),500
Depth range (mm),500
ROI,Strat-X = 149,Strat-Y = 0,End-X = 481,End-Y = 396
Experiment note

Search range,2021/11/23 10:25:19 Å` 2021/11/26 10:25:18
***** Analysis Data *****
Project No,Session No,date time,Xpx,Ypx,Xcm,Ycm,Zcm,AreaNo
236,1,2021-11-23 10:25:20.000,186,393,25.4,53.5,5.6,3
236,1,2021-11-23 10:25:21.000,208,146,28.4,19.8,39.8,5
236,1,2021-11-23 10:25:22.000,208,146,28.4,19.8,39.8,5
236,1,2021-11-23 10:25:23.000,208,146,28.4,19.8,39.8,5
236,1,2021-11-23 10:25:24.000,214,139,29.2,18.9,41.1,5
236,1,2021-11-23 10:25:25.000,214,139,29.2,18.9,41.1,5
236,1,2021-11-23 10:25:26.000,214,139,29.2,18.9,41.1,5
*************************
